"Number";"Name";"Deployment State";"Incident State";"SectionGeneral::1";"SectionGeneral::1::ParentLocation";"SectionGeneral::1::RoomType";"SectionGeneral::1::Floor";"SectionGeneral::1::RoomLabel";"SectionGeneral::1::Note";"SectionGeneral::1::Attachment::1";"SectionGeneral::1::Attachment::2";"SectionGeneral::1::Attachment::3";"SectionGeneral::1::Attachment::4";"SectionGeneral::1::Attachment::5";"SectionContacts::1";"SectionContacts::1::ContactRole::1";"SectionContacts::1::ContactRole::1::Contact";"SectionContacts::1::ContactRole::2";"SectionContacts::1::ContactRole::2::Contact";"SectionContacts::1::ContactRole::3";"SectionContacts::1::ContactRole::3::Contact";"SectionContacts::1::ContactRole::4";"SectionContacts::1::ContactRole::4::Contact";"SectionContacts::1::ContactRole::5";"SectionContacts::1::ContactRole::5::Contact";"SectionContacts::1::ContactRole::6";"SectionContacts::1::ContactRole::6::Contact";"SectionContacts::1::ContactRole::7";"SectionContacts::1::ContactRole::7::Contact";"SectionContacts::1::ContactRole::8";"SectionContacts::1::ContactRole::8::Contact";"SectionContacts::1::ContactRole::9";"SectionContacts::1::ContactRole::9::Contact";"SectionContacts::1::ContactRole::10";"SectionContacts::1::ContactRole::10::Contact";"SectionServiceCatalog::1";"SectionServiceCatalog::1::AssignedSLA"
;"A.One.101";"Production";"Operational";;"A.One";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Bronze"
;"A.One.102";"Production";"Operational";;"A.One";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.One.103";"Production";"Operational";;"A.One";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.One.104";"Production";"Operational";;"A.One";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.One.105";"Production";"Operational";;"A.One";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.One.106";"Production";"Operational";;"A.One";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.One.107";"Production";"Operational";;"A.One";"Storage";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.Two.101";"Production";"Operational";;"A.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Bronze"
;"A.Two.102";"Production";"Operational";;"A.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.Two.103";"Production";"Operational";;"A.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.Two.104";"Production";"Operational";;"A.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.Two.105";"Production";"Operational";;"A.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.Two.106";"Production";"Operational";;"A.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.Two.107";"Production";"Operational";;"A.Two";"Storage";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.Two.201";"Production";"Operational";;"A.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Bronze"
;"A.Two.202";"Production";"Operational";;"A.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.Two.203";"Production";"Operational";;"A.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.Two.204";"Production";"Operational";;"A.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.Two.205";"Production";"Operational";;"A.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.Two.206";"Production";"Operational";;"A.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"A.Two.207";"Production";"Operational";;"A.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.One.101";"Production";"Operational";;"B.One";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Bronze"
;"B.One.102";"Production";"Operational";;"B.One";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.One.103";"Production";"Operational";;"B.One";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.One.104";"Production";"Operational";;"B.One";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.One.105";"Production";"Operational";;"B.One";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.One.106";"Production";"Operational";;"B.One";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.One.107";"Production";"Operational";;"B.One";"Storage";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.101";"Production";"Operational";;"B.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Bronze"
;"B.Two.102";"Production";"Operational";;"B.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.103";"Production";"Operational";;"B.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.104";"Production";"Operational";;"B.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.105";"Production";"Operational";;"B.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.106";"Production";"Operational";;"B.Two";"Office";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.107";"Production";"Operational";;"B.Two";"Storage";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.201";"Production";"Operational";;"B.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.202";"Production";"Operational";;"B.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.203";"Production";"Operational";;"B.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.204";"Production";"Operational";;"B.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.205";"Production";"Operational";;"B.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.206";"Production";"Operational";;"B.Two";"Office";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"B.Two.207";"Production";"Operational";;"B.Two";"Storage";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
